id id_mer id_rel
4443496 0 1
6663340 0 1
333441 0 1
777620 0 1
4443920 0 1
6663892 0 1
333428 0 0
777607 0 0
3331344 0 0
4443907 0 0
4445647 0 0
6663859 0 0
6665844 0 0
7771552 0 0
4443464 0 0
6663308 0 0
777977 0 1
4445234 0 1
6665272 0 1
4445173 0 0
6665205 0 0
6664153 0 0
3331188 0 1
4445472 0 1
7771298 0 1
333356 0 0
777423 0 0
4443744 0 0
6663623 0 0
3331294 0 1
4445602 0 1
6665716 0 1
7771454 0 1
3331140 0 0
4445409 0 0
6665462 0 0
7771232 0 0
3331132 0 1
4445393 0 1
6665448 0 1
7771189 0 1
6664040 0 0
3331268 1 0
4445577 1 0
6665659 1 0
7771427 1 0
4441610 0 0
6661242 0 0
333384 0 1
777529 0 1
4443846 0 1
6663726 0 1
777416 1 0
4443736 1 0
6663619 1 0
4442009 0 1
6661790 0 1
4441597 1 0
6661232 1 0
44461663 0 0
66663472 0 0
3335072 0 0
3335073 0 0
7774807 0 0
7774808 0 0
44410224 0 0
44410225 0 0
66610478 0 0
66610479 0 0
3332198 0 1
4447198 0 1
6667330 0 1
7772305 0 1
3335452 0 1
7775394 0 1
66610887 0 1
3335111 1 0
7774845 1 0
44410262 1 0
66610514 1 0
3332117 1 0
4447118 1 0
6667215 1 0
7772150 1 0
3335232 1 0
7775007 1 0
44410381 1 0
3335077 0 1
7774812 0 1
44410229 0 1
66610483 0 1
3333708 0 1
7773770 0 1
3332351 0 1
6667600 0 1
7772473 0 1
4441650 0 0
6661286 0 0
3333493 0 1
4448857 0 1
6669023 0 1
7773465 0 1
3335056 0 1
7774791 0 1
44410209 0 1
66610453 0 1
3335418 0 0
7775349 0 0
66610827 0 0
1111155 0 1
3335108 0 1
7774842 0 1
44410259 0 1
3333497 0 1
4448861 0 1
6669036 0 1
7773469 0 1
3338821 0 1
7779135 0 1
44413137 0 1
66613640 0 1
33314614 0 1
44416578 0 1
77715134 0 1
3335006 1 0
