ngroup ra dec z delta ngal pval ind p_sw p_sf p_ad p_cvm p_lillie p_pearson delta_2 pval_2 color mag sph sph.dens gap gamma id_mer id_rel
11160859 198.196997506275 32.8009564838619 0.0141771905269841 1.50474407978806 63 0.0333333333333333 6 0.0200553679715139 0.029022116369843 0.007354435969112 0.00649334088782677 0.00637566538037436 0.15550402610494 1.53787103491854 0.0333333333333333 0.643271537053968 14.5060071945 1.35495187099574 2.75 0.233415603699999 -99 1 0
11161853 258.17339505494 33.9033285825298 0.0261042672076336 1.3252812473224 131 0.1 -1 0.825417936158882 0.93895459497097 0.946996686654088 0.937597619239904 0.913095832812458 0.983436391519386 1.37243978881958 0.1 0.721081609942748 14.5881881714 2.26901974291106 10.3333333333333 0.132398605299999 -99 1 0
111730 47.6180760365623 -1.10894899547925 0.0234842643471698 0.760337014100456 53 0.866666666666667 -1 0.0233049868560186 0.0580202308782575 0.02754780076768 0.0461127126116861 0.064440390558112 0.0974988303754926 0.893973407891285 0.866666666666667 0.700761597116981 14.9622602463 1.61460732235263 14 0.0132350921000004 -99 0 1
111748 48.2267414028441 -0.0821097291271186 0.0243716103186441 1.8319099099926 59 0 -1 0.0727154797337639 0.15696983820594 0.079514301454704 0.10580991154245 0.174820929455887 0.556875498869189 1.87060497346321 0 0.664890353957627 14.5561990738 1.47172951625012 6 0.0872440337999993 -99 0 0
1111002 51.2458044583689 -1.07027486699344 0.0267251311032787 1.0665218120576 61 0.3 -1 0.00327258406277982 0.00882908546950192 0.00154537497496377 0.00290574880364669 0.00598165552560723 0.00408181956424178 1.22649066447114 0.3 0.685395725452459 14.7282552719 1.55905682274749 5 0.0342493056999995 -99 0 0
1111155 318.29790662683 10.6408675027935 0.0253564348130435 1.13059565418641 46 0.133333333333333 5 0.192880190389899 0.282923553953192 0.162280676351997 0.117941868276303 0.116316786376132 0.470725805294233 1.22261940599895 0.133333333333333 0.637992340584783 14.5188369751 1.69521925877835 99999 0.228054046600001 -99 0 1
1111903 27.9656999860486 -8.59023350307143 0.03013997136 1.34660109463916 35 0 -1 0.127977549934926 0.233010901075205 0.160677187826229 0.212848778869136 0.133129202780781 0.328846852890957 1.47318258054999 0 0.670749364571429 14.6830034256 2.34377678860577 9 0.121501922599998 -99 0 0
1112243 353.833366394043 -10.8849206187477 0.0315579318636364 1.15184730272849 44 0.233333333333333 -1 0.697154214965537 0.85516768259982 0.779416508380067 0.76305771603256 0.792272079452977 0.438406346365658 1.17549910875518 0.233333333333333 0.6989627318 14.5478305817 1.48839638316307 4 0.1265974044 -99 0 1
1113026 320.00609925736 -6.06143365904186 0.0451732322953488 1.38932396429135 43 0.0333333333333333 -1 0.169953395611856 0.271231669737107 0.20259266501908 0.185486815588218 0.215426605467238 0.262829986614463 1.35536007317925 0.0333333333333333 0.683518764593023 15.5503177643 1.45739359671786 8 0.0360212325999996 -99 0 1
1113221 33.147445523002 -9.72992474692449 0.0531576327530612 1.15189573438318 49 0.3 -1 0.208425716936618 0.33646904584397 0.238861102273795 0.300369726907233 0.434115912984369 0.650001753960769 1.03992544320184 0.3 0.701849956897959 15.2515621185 1.57742479876048 3.5 0.270925521899999 -99 0 1
1113556 344.477490922097 -8.67600044733944 0.0416810985816901 1.78987370626828 71 0 6 0.306656969186267 0.39892412941438 0.164562616060474 0.109990339028487 0.400352186991673 0.442490891209782 1.72401253633483 0 0.646916053649296 14.8432006836 1.34588277081747 3.33333333333333 0.162074089000001 -99 0 1
1113762 49.2551934213394 0.917994696087879 0.0613119087454545 1.19465182380122 33 0.0666666666666667 -1 0.871990572452975 0.95379320501406 0.945925399409438 0.950939597722801 0.967992102498454 0.627593008796523 1.2849904977499 0.0666666666666667 0.650548877142424 14.7141819 1.66027699396324 6 0.540366172800001 -99 0 0
1114719 343.112887382512 -8.59301686286875 0.047462031121875 1.32282359545368 32 0.0333333333333333 4 0.125524226327784 0.245712091913712 0.182232072236872 0.278857883392008 0.411393744600389 0.0752352461465122 1.56801235565832 0.0333333333333333 0.71141397953125 15.1362943649 1.92432808101722 99999 0.107534408600001 -99 0 1
1114796 358.538933332577 -0.416673536388372 0.0437086049534884 0.896146530704638 43 0.7 -1 0.52367197200694 0.515698122805662 0.391911893495668 0.304639836267041 0.255784010715512 0.338786152335092 1.09037277258316 0.7 0.714300599202326 14.8517045975 2.01643012825534 99999 0.3070821762 -99 0 1
1115005 45.7556752522778 0.892925471731111 0.0701741553022222 2.45737253231603 45 0 5 0.0378031756416218 0.0483465258899267 0.0154922904610451 0.0116989098112872 0.0212350451900927 0.170457499323535 2.18890817143358 0 0.719004525068889 15.239938736 2.10168668045645 99999 0.423052787700001 -99 0 1
